COUNTY,year,N Rows,Mean(Year),Number of host,Avg_Price
Los Angeles,2008,23,139.2608696,23,139.2608696
Los Angeles,2009,166,132.2771084,189,133.1269841
Los Angeles,2010,559,154.0447227,748,148.7593583
Los Angeles,2011,1662,167.1793021,2410,161.4622407
Los Angeles,2012,3116,189.1774711,5526,177.0903004
Los Angeles,2013,4165,177.4883553,9691,177.2613765
Los Angeles,2014,5347,172.9107911,15038,175.7144567
Los Angeles,2015,6601,185.3507044,21639,178.6540043
Los Angeles,2016,3901,163.4675724,25540,176.3344166
Orange,2008,1,275,1,275
Orange,2009,1,160,2,217.5
Orange,2010,1,95,3,176.6666667
Orange,2011,2,120,4,165
Orange,2012,2,94,5,143.6
Orange,2013,6,113,11,126.9090909
Orange,2014,10,138.7,21,132.5238095
Orange,2015,21,205.5238095,42,169.0238095
Orange,2016,18,91.33333333,60,145.7166667
Santo Ana,2012,2,69.5,2,69.5
Santo Ana,2013,1,155,3,98
Santo Ana,2014,4,60.25,7,76.42857143
Santo Ana,2015,13,61.76923077,20,66.9
Santo Ana,2016,10,120.7,30,84.83333333
Long Beach,2009,1,330,1,330
Long Beach,2010,8,369.625,9,365.2222222
Long Beach,2011,26,433.5,35,415.9428571
Long Beach,2012,47,399.3829787,82,406.4512195
Long Beach,2013,73,502.520548,155,451.6967742
Long Beach,2014,100,384.3,255,425.2666667
Long Beach,2015,126,578.2222222,381,475.8503937
Long Beach,2016,66,443.0151515,447,471.0022371
