Room ,Year,Number of Host(Year),Number of Host,Response,Acceptance,Price(Year),Price,zipcode,latitude,longitude
Entire Home,2008,12,12,0.904166667,0.770833333,191.167,191.167,90014,34.0420644,-118.25322
Entire Home,2009,93,105,0.908709677,0.819892473,193.183,192.9526,90039,34.0948305,-118.2644
Entire Home,2010,378,483,0.853597884,0.792724868,192.571,192.6539565,90028,34.1124752,-118.33644
Entire Home,2011,1084,1567,0.847656827,0.778265683,219.644,211.3247971,90049,34.0645512,-118.49514
Entire Home,2012,2022,3589,0.805049456,0.749812067,252.905,234.7505899,90292,33.988478,-118.44119
Entire Home,2013,2672,6261,0.819517216,0.773940868,238.012,236.1424582,90038,34.0863655,-118.31078
Entire Home,2014,3184,9445,0.810486809,0.758247487,245.066,239.1506697,90061,33.9273855,-118.26974
Entire Home,2015,3779,13224,0.783892564,0.737115639,280.179,250.8752659,90036,34.0678366,-118.34924
Entire Home,2016,1959,15183,0.810821848,0.789081164,256.546,251.6069374,90049,34.0495985,-118.46338
Private Room,2008,10,10,0.847,0.676,82.4,82.4,90046,34.0884453,-118.35517
Private Room,2009,55,65,0.907818182,0.768545455,66.927,69.30746154,90713,33.8558593,-118.12411
Private Room,2010,182,247,0.803901099,0.745549451,79.159,76.56648988,90026,34.0946491,-118.27772
Private Room,2011,556,803,0.801960432,0.750791367,88.406,84.76420797,90069,34.0936255,-118.37033
Private Room,2012,1041,1844,0.803256484,0.741930836,89.481,87.42699566,90036,34.0696454,-118.35722
Private Room,2013,1455,3299,0.791993127,0.745230241,92.3,89.57619885,90024,34.0604015,-118.439
Private Room,2014,2007,5306,0.797862481,0.769526657,84.753,87.75181888,91607,34.1589739,-118.40991
Private Room,2015,2611,7917,0.755063194,0.737073918,84.755,86.76347809,91401,34.1741902,-118.43849
Private Room,2016,1673,9590,0.741159594,0.730735206,84.902,86.43873848,91302,34.1526146,-118.6421
Shared Room,2008,1,1,0,0,85,85,90010,34.0617222,-118.29341
Shared Room,2009,20,21,0.9925,0.79,51.05,52.66666667,90029,34.0867933,-118.28411
Shared Room,2010,8,29,0.77875,0.62625,45.4,50.66206897,90068,34.1184079,-118.31484
Shared Room,2011,49,78,0.895510204,0.842244898,43.878,46.40028205,90004,34.0795284,-118.32809
Shared Room,2012,102,180,0.75,0.880098039,38.363,41.84582222,90007,34.0283428,-118.27342
Shared Room,2013,118,298,0.789745763,0.778305085,55.025,47.06442282,90066,34.0022397,-118.41931
Shared Room,2014,270,568,0.778,0.830148148,52.681,49.73427465,91403,34.1505397,-118.4632
Shared Room,2015,372,940,0.742123656,0.72405914,57.731,52.89893617,90068,34.1153363,-118.3246
Shared Room,2016,358,1298,0.642709497,0.667793296,69.662,57.52233898,90006,34.0554209,-118.28296
